id,titre,objet,date_creat,date_publi,adr1,adr2,adr3,adrs_codepostal,libcom,siteweb
751P00003104,ASSOCIATION SPORTIVE F D C ASSOCIATION SPORTIVE FEVRIER DECOISY CHAMPION,plus d'activité,1965-07-02,0001-01-01,,60        RUE de Wattignies,,75012,PARIS,
751P00003109,AERO CLUB PROPAGANDISTE FRANCAIS,plus d'activité,1938-06-15,0001-01-01,,1         PL  Edouard renard,,75012,PARIS,
751P00003201,LES AILES DE PARIS,plus d'activité,1938-10-03,0001-01-01,,16        BD  de Picpus,,75012,PARIS,
751P00003212,METALLO CLUB DU 12EME,pratique de tous les sports,0001-01-01,0001-01-01,,96        RUE Claude decaen,,75012,PARIS,
751P00003301,SYNDICAT NATIONAL DES CONSOMMATEURS ET USAGERS DE FRANCE ET DES COLONIES,plus d'activité,1939-01-21,0001-01-01,,14        BD  Soult,,75012,PARIS,
751P00003307,L'UNION DES GROUPEMENTS D'INGENIEURS MUNICIPAUX DE FRANCE ET DES COLONIES,plus d'activité,1939-01-27,0001-01-01,,98        QUAIde la Rapee,,75012,PARIS,
751P00003336,THEATRE DES VARIETES BUNTE BUHNE,développement des capacités professionnelles de ses membres organiser des soirées artistiques en langue allemande,0001-01-01,0001-01-01,,14        RUE du Docteur goujon,,75012,PARIS,
751P00003355,LE GRAND CERNOIS,plus d'activité,1969-10-29,0001-01-01,,122       AV  Daumesnil,,75012,PARIS,
751P00003376,COMITE D'ACTION ET DE DEFENSE LAIQUES DU 12EME ARRONDISSEMENT,plus d'activité,1939-03-09,0001-01-01,,21        BD  Poniatowski,,75012,PARIS,
751P00003419,FEDERATION FRANCAISE DE TRAMPOLINE ET DES SPORTS ACROBATIQUES FFTSA,plus d'activité,1965-07-19,1965-07-19,,4         RUE de Capri,,75012,PARIS,
751P00003458,UNITE NATIONALE DE SELECTION ET DE PROMOTION DE LA RACE ILE DE FRANCE UPRA OIF,étudier la race sous tous ses aspects déterminer le type de la race tenir le livre généalogique,1967-01-17,1965-08-04,,149       RUE de Bercy,,75012,PARIS,
751P00003470,AERO CLUB GUSTAVE LEMOINE,plus d'activité,1935-03-21,0001-01-01,,39        RUE Crozatier,,75012,PARIS,
751P00003489,COMITES DE PARRAINAGE DES ENFANTS ESPAGNOLS,plus d'activité,1939-04-01,0001-01-01,,221       AV  Daumesnil,,75012,PARIS,
751P00003495,LE CHANT DU COEUR GROUPE CHORAL D'AMITIE,plus d'activité,1965-07-23,0001-01-01,,20        BD  de la Bastille,,75012,PARIS,
751P00003530,CLUB DES LOISIRS DES CHEMINOTS DE PARIS SUD EST,plus d'activité,1939-04-15,0001-01-01,,9         RUE Antoine vollon,,75012,PARIS,
751P00003588,SOCIETE DES INGENIEURS CHIMISTES DE LA PREFECTURE DE LA SEINE,l'étude en commun de toutes questions les ingénieurs chimiste de la préfecture de la seine la défense de leurs intérêts generaux et corporatifs,0001-01-01,0001-01-01,,98        QUAIde la Rapee,,75012,PARIS,
751P00003616,COMITE D'ENTR AIDE ET D'EXPANSION BEL AIR PICPUS,plus d'activité,1974-12-11,0001-01-01,,42 B      RUE du Sahel,,75012,PARIS,
751P00003684,ASSOCIATION DU CLUB DES AMIS MARTINIQUAIS A PARIS,plus d'activité,1969-11-25,0001-01-01,,253       AV  Daumesnil,,75012,PARIS,
751P00003714,AMICALE DES CHEFS D'ILOTS DES QUINZE VINGTS,assurer une documentation régulière par des réunions organisées et par l'édition d'un bulletin,0001-01-01,0001-01-01,,38        AV  Daumesnil,,75012,PARIS,
751P00003825,CLUB SPORTIF DU MINISTERE DES FINANCES,promouvoir la pratique des sports ss ttes formes de compétition et de loisirs au sein du ministère,1919-03-20,1919-04-08,,139       RUE de Bercy,,75012,PARIS,
751P00003840,ASSOCIATION SPORTIVE DU HAMEAU DE VILLERS,plus d'activité,1948-06-23,0001-01-01,,8         AV  Daumesnil,,75012,PARIS,
751P00003866,UNION SPORTIVE DES TRAVAUX ET TRANSPORTS ET DE L'INSTITUT GEOGRAPHIQUE NATIONAL,la pratique des exercices physiques et de tous les sports en general,1941-11-05,0001-01-01,,11        PL  Adolphe cherioux,,75012,PARIS,
751P00003889,ASSOCIATION SPORTIVE DE LA JEUNESSE DU 12EME ARRONDISSEMENT,éducation morale et physique de la jeunesse,1946-02-27,1946-03-28,,68        BD  Poniatowski,,75012,PARIS,
751P00003952,LE REPOS A LA CAMPAGNE,créer entretenir a la campagne des maisons de repos,0001-01-01,0001-01-01,,199       RUE de Bercy,,75012,PARIS,
751P00004020,CAISSE DE SECOURS DU 4EME BUREAU,allouer des secours,1925-03-12,0001-01-01,,139       RUE de Bercy,,75012,PARIS,
