id,titre,objet,date_creat,date_publi,adr1,adr2,adr3,adrs_codepostal,libcom,siteweb
751P00098670,PARA MYCO CHUSA,promotion de la recherche et de l'information en parasitologie mycologie,1991-02-11,0001-01-01,,27        RUE Chaligny,,75012,PARIS,
751P00098679,ASSOCIATION DE PREVENTION POUR UNE MEILLEURE CITOYENNETE DES JEUNES,promouvoir ts types d'actions tendant a la prévention de la délinquance en developpant chez les jeunes le sens du civisme,1986-02-06,1986-03-19,,54        QUAIde la Rapee,,75012,PARIS,
751P00098754,CLUB REUSSIR FM,contribuer aux actions et réalisations internes et externes de la radion réussir fm,1991-02-15,0001-01-01,,102       QUAIde la Rapee,,75012,PARIS,
751P00098760,RESPIRE REUNION POUR L'ENSEIGNEMENT DE LA RELAXATION DE L'ECOUTE SCIENTIFIQUE PHYSIOLOGIQUE INITIATIQUE ET RESPIRATOIRE DE L'ETRE,les conseils d'hygiène et du corps et du mental et leurs nseignements philosophiques et traditionnels,1991-02-18,1991-03-13,,218       AV  Daumesnil,,75012,PARIS,
751P00098849,ASSOCIATION VILLAGEOISE DE DIOMBOUGOU AVD,développement socio économique et culturel dispensaires maternité forages coopératives défendre les intérêts materiels moraux,1991-02-22,0001-01-01,,59        AV  Daumesnil,,75012,PARIS,
751P00098865,LESBIAN AND GAY PRIDE PARIS LGP,organisation d'une marche annuelle a paris des homosexuels hommes et femmes promotion de manifestations pour la défense des droits des homosexuels,1991-02-26,1991-03-20,,23        RUE Erard,,75012,PARIS,
751P00098934,ANCIENS ELEVES DE L'ISCOM INSTITUT SUPERIEUR DE COMMUNICATION ET DE PUBLICITE,maintenir des relations entre anciens et les nouveaux étudiants de l'iscom,1991-03-04,0001-01-01,,25        RUE Claude tillier,,75012,PARIS,
751P00098942,RENCONTRE ET CREATION,créer un atelier d'arts plastiques pour les parents et enfants,1991-03-04,0001-01-01,,69        RUE de Wattignies,,75012,PARIS,
751P00098976,OFFICE INTERNATIONAL UNIVERSITE ET ENTREPRISE,dvpt des relations et des coopérations internationales dans les domaines de la recherche de l'enseignement superieur et de l'économie,1991-03-06,0001-01-01,,27 29     AV  de Saint mande,,75012,PARIS,
751P00098981,LELEU TEAM SPORT LTS,inscription participation aux épreuves sportives automobiles distribution vente de gadgets et préparation des véhicules,0001-01-01,0001-01-01,,46        RUE de la Brèche aux loups,,75012,PARIS,
751P00098984,MT DUBONNET CLUB,rencontre echange de valeurs complémentaires,0001-01-01,0001-01-01,,67        RUE de Reuilly,,75012,PARIS,
751P00098990,ASSOCIATION SPORTIVE ET CULTURELLE DES TAXIS PARISIENS,la pratique du sport,1991-03-07,0001-01-01,,196       RUE du Faubourg saint antoine,,75012,PARIS,
751P00098995,INTEGRATION DU BOIS,organiser et financer le voyage d'intégration des élèves de l'école supérieure du bois de première anne,1991-03-07,0001-01-01,,6         AV  de Saint mande,,75012,PARIS,
751P00099006,ASSOCIATION HENRI DE PORTZAMPARC,apporter a la veuve de celui ci une aide morale et matérielle pour assurer l'éducation des enfants nes de leur mariage,1991-03-08,0001-01-01,,32        RUE Chaligny,,75012,PARIS,
751P00099041,COMITE D'ORGANISATION DE L'ARBRE DE NOEL DES POSTIERS DU CENTRE DE TRI DE PARIS GARE DE LYON ET DES AMBULANTS DU SUD EST RESIDENCE PARIS,organisation d'un arbre de noel au profit des enfants du personnel pte du centre de tri postal de paris gare de lyon et des ambulants du se,1991-03-12,1991-04-03,,87        RUE du Charolais,,75012,PARIS,
751P00099049,ITAL,être un lieu d'échanges de dialogues de réflexions sur la communication institutionnelle pour les acteurs qui la realisent,1991-03-12,0001-01-01,,64        RUE de Charenton,,75012,PARIS,
751P00099058,FAIRE VIVRE LA FORET,promouvoir pr ts moyens les métiers lies a l'exploitation de la foret,1991-03-13,1991-04-03,,2 10      AV  de Saint mande,,75012,PARIS,
751P00099073,CERCLE DES CREATEURS REPRENEURS ET DEVELOPPEURS D'ENTREPRISES CCRD,promouvoir l'esprit d'entreprise auprès des porteurs de projets d'apporter un soutien moral aux entrepreneurs potentiels,1991-03-13,0001-01-01,,31        RUE des Colonnes du trône,,75012,PARIS,
751P00099094,NANAGRAM,produire ou coproduire des spectacles oeuvres originale ou déjà existentes a diffusion publique ou non et les exploiter,1991-03-14,0001-01-01,,3         RUE du Niger,,75012,PARIS,
751P00099155,SILLAGES CONFLUENTS,échanges culturels entre l'afrique et l'occident,1991-03-19,0001-01-01,,250       RUE du Faubourg saint antoine,,75012,PARIS,
751P00099198,CENTRE D'EDUCATION ET DE FORMATION PERMANENTE APPLIQUEE CEFPA,organiser des sessions de formation permanente a visee professionnel,1991-03-21,1991-04-17,,15        RUE Michel chasles,,75012,PARIS,
751P00099203,ARPEGE ASSOCIATION DE RECHERCHE EN PSYCHIATRIE ENTRE GROUPES EUROPEENS,créer un espace de réflexion et de confrontation sur les pratiques en médecine et en psychiatrie dans un cadre d'échanges européens,1991-03-21,0001-01-01,,15        RUE Fabre d églantine,,75012,PARIS,
751P00099243,EDITIONS LIBRE ESCALE,promotion édition et diffusion d'oeuvres d'artistes,1991-03-25,0001-01-01,,5         PL  Felix eboue,,75012,PARIS,
751P00099259,PLEIN CIEL,développement des moyens de communication materiels technologiques et humains entre les personnes et les organisations,1991-03-26,0001-01-01,,6         RUE des Fonds verts,,75012,PARIS,
751P00099295,GAI MULTIPLEX,de promouvoir l'expression homosexuelle et lesbienne par l'organisation de débats publics,1991-03-28,0001-01-01,,27        BD  Poniatowski,,75012,PARIS,
751P00099358,ROCK NROLL AVENUE,promotion de la danse notamment le rock n roll enseignement de la danse organisation de stages formation,1991-04-03,1991-04-24,,5         RUE Theodore hamont,,75012,PARIS,
751P00099364,BUSHMANLAND EXPEDITIONS,promouvoir des voyages a prix reduits en afrique australe,1991-04-03,1991-04-24,,5         RUE Fabre d églantine,,75012,PARIS,
751P00099394,LES MONTE EN L'AIR,aide a la création d'emplois d'artistes organisation de stages pour aider a la formation d'artistes création de spectacles vivants,1991-04-05,0001-01-01,,34        RUE de Citeaux,,75012,PARIS,
751P00099423,ASSOCIATION CULTURELLE ARTISTIQUE ET SPORTIVE JUNGLE SOUS MARINE,organiser et animer des actions culturelles artistiques et sportivespour enfants et adultes,1991-04-08,1991-05-02,,34        RUE de Picpus,,75012,PARIS,
751P00099429,AMITIES FRANCO VENEZULIENNES,de développer sous toutes ses formes culturelle et d'artisanat les échanges et la connaissance mutuelle entre pays,1991-04-08,0001-01-01,,8         RUE de la Vega,,75012,PARIS,
